"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-05-31,"Willmar, MN","MN",497,1197,-0.0284090909090909,-0.0354552780016116,-0.0315533980582524,14223
2019-05-31,"Auburn, IN","IN",498,1047,0,-0.00664136622390892,-0.0205799812909261,11475
2019-05-31,"Paragould, AR","AR",499,854,-0.0217640320733104,-0.0284414106939704,-0.0458100558659218,13957
2019-05-31,"Warren, PA","PA",500,973,-0.00815494393476045,-0.0121827411167513,0.0263713080168776,12244
2019-05-31,"Cedartown, GA","GA",501,1083,0.00744186046511628,0.0324118207816969,0.118801652892562,14670
2019-05-31,"Port Clinton, OH","OH",502,1170,0.00775193798449612,0.0147441457068517,0.0317460317460317,23794
2019-05-31,"El Campo, TX","TX",503,1296,-0.00765696784073507,-0.00689655172413793,0.00543056633048875,12266
2019-05-31,"Montrose, CO","CO",504,1318,0.0130668716372022,0.0193348801237432,-0.0365497076023392,13586
2019-05-31,"Ellensburg, WA","WA",505,1585,0.00379987333755541,-0.00377121307353866,-0.000630517023959647,16475
2019-05-31,"Sandpoint, ID","ID",506,1388,0.0153621068032187,0.0220913107511046,0.107741420590583,18568
2019-05-31,"Alice, TX","TX",507,1062,-0.031021897810219,-0.0483870967741935,-0.0175763182238668,5787
2019-05-31,"Celina, OH","OH",508,1155,0.0140474100087796,0.0230292294065545,0.0519125683060109,11559
2019-05-31,"Garden City, KS","KS",509,1104,-0.0151650312221231,-0.0221434898139947,-0.0177935943060498,9738
2019-05-31,"Marshalltown, IA","IA",510,856,-0.00233100233100233,0.00351699882766706,0.014218009478673,16327
2019-05-31,"Cullowhee, NC","NC",511,1312,0,0.00459418070444104,0.0479233226837061,18261
2019-05-31,"Espa±ola, NM","NM",512,1156,-0.00258843830888697,-0.00430663221360896,0.00784655623365301,1069
2019-05-31,"Tifton, GA","GA",513,1073,-0.0110599078341014,-0.0164986251145738,0.0189933523266857,8892
2019-05-31,"Urbana, OH","OH",514,1063,0.00949667616334283,0.0143129770992366,0.0835881753312946,12075
2019-05-31,"Okeechobee, FL","FL",515,1340,0.00525131282820705,0.0120845921450151,0.0331534309946029,8171
2019-05-31,"Natchitoches, LA","LA",516,1129,-0.0242005185825411,-0.0464527027027027,-0.0504625735912531,7713
2019-05-31,"Berlin, NH","NH",517,1232,0.0131578947368421,0.021558872305141,0.0538922155688623,18542
